시군구,행정동,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
종로구,숭인1동,5728,76,91,157,170,280,431,445,356,374,391,551,506,553,463,298,247,196,96,34,12,1
종로구,숭인2동,10074,99,96,116,150,798,1662,1361,679,521,522,705,798,740,673,435,321,248,111,32,6,1
중구,소계,120544,2562,2754,2803,3080,6346,10431,12014,9582,8837,7579,9235,9345,9568,8841,6021,4824,3747,2027,728,198,22
중구,소공동,2163,59,72,82,63,68,135,228,227,296,226,171,144,104,112,63,46,39,19,6,3,-
중구,회현동,4301,73,76,97,99,156,258,302,246,236,252,379,374,454,456,320,214,156,95,39,17,2
중구,명동,2529,27,25,44,68,112,198,186,137,158,174,228,216,222,252,164,130,106,44,32,6,-
중구,필동,4341,62,67,94,101,362,458,491,388,295,246,287,290,279,328,197,142,134,71,34,13,2
중구,장충동,4546,56,71,102,168,661,555,423,244,268,232,291,289,272,279,195,176,145,83,27,8,1
중구,광희동,5727,58,58,81,96,396,750,801,485,382,290,352,377,420,411,295,209,160,76,22,8,-
중구,을지로동,3095,90,38,39,40,104,291,497,445,273,212,184,172,206,177,129,81,65,41,6,5,-
중구,신당동,7411,85,142,104,142,399,823,759,573,505,447,550,612,644,535,370,316,250,100,44,10,1
중구,다산동,13030,173,228,278,364,716,1207,1270,889,877,785,1098,1028,1078,1030,675,566,448,227,73,19,1
중구,약수동,15935,365,423,409,417,684,1006,1200,1119,1102,998,1275,1311,1381,1328,978,767,619,388,124,38,3
중구,청구동,12397,297,282,334,335,618,853,1152,983,790,725,991,1023,1055,951,659,552,431,259,85,20,2
중구,신당5동,10080,219,214,239,254,483,931,1063,789,708,661,814,855,830,692,461,386,281,141,45,13,1
중구,동화동,9828,236,326,328,354,507,553,687,619,692,637,817,932,905,804,472,377,314,183,68,16,1
중구,황학동,13101,303,289,213,227,604,1580,1923,1345,1074,783,868,846,844,759,539,423,286,121,62,10,2
중구,중림동,12060,459,443,359,352,476,833,1032,1093,1181,911,930,876,874,727,504,439,313,179,61,12,6
